exception_id,level,invoice_number,po_number,grn_number,exception_type,message,severity,context_json
39927227-b967-45b5-943a-00d38195a13b,INVOICE,not specified,not specified,,DUPLICATE_INVOICE,Duplicate invoice_number detected,ERROR,"{""invoice_number"": ""not specified""}"
f65272ed-2446-4d41-b695-eeca08a04b96,INVOICE,invoice_number,po_number,,DUPLICATE_INVOICE,Duplicate invoice_number detected,ERROR,"{""invoice_number"": ""invoice_number""}"
f152f773-d238-4af6-a702-768822cd6e11,INVOICE,INV20025,P010025,,DUPLICATE_INVOICE,Duplicate invoice_number detected,ERROR,"{""invoice_number"": ""INV20025""}"
b3aac5ca-2ecc-4150-b14f-ac3cf4fcae5f,INVOICE,INV20233,P010233,,DUPLICATE_INVOICE,Duplicate invoice_number detected,ERROR,"{""invoice_number"": ""INV20233""}"
b506928d-9fc5-47fd-aec0-a2d96b68256c,INVOICE,INV20438,P010438,,DUPLICATE_INVOICE,Duplicate invoice_number detected,ERROR,"{""invoice_number"": ""INV20438""}"
58655e40-c3bb-4eef-a31a-cdfd28c1bd76,INVOICE,INV20000,P010000,,DUPLICATE_INVOICE,Duplicate invoice_number detected,ERROR,"{""invoice_number"": ""INV20000""}"
0e0b6d5c-9a48-4541-88b9-c0906644482f,INVOICE,invoice_number,po_number,,DUPLICATE_INVOICE,Duplicate invoice_number detected,ERROR,"{""invoice_number"": ""invoice_number""}"
0fbcd151-bf3a-4b9e-9c1d-0e3c74797cf8,INVOICE,INV20025,P010025,,DUPLICATE_INVOICE,Duplicate invoice_number detected,ERROR,"{""invoice_number"": ""INV20025""}"
48b8a728-503a-496c-9371-8e92eb991d28,INVOICE,INV20233,P010233,,DUPLICATE_INVOICE,Duplicate invoice_number detected,ERROR,"{""invoice_number"": ""INV20233""}"
00c58273-69d9-4696-8208-7a4f0251919a,INVOICE,INV20438,P010438,,DUPLICATE_INVOICE,Duplicate invoice_number detected,ERROR,"{""invoice_number"": ""INV20438""}"
87250447-27ac-4ab6-a0c3-3d420e355eaa,INVOICE,INV20000,P010000,,DUPLICATE_INVOICE,Duplicate invoice_number detected,ERROR,"{""invoice_number"": ""INV20000""}"
f1b8cc9b-e927-4c7e-8789-1a0f7324f835,INVOICE,invoice_number,po_number,,DUPLICATE_INVOICE,Duplicate invoice_number detected,ERROR,"{""invoice_number"": ""invoice_number""}"
8bc1c045-7b94-4e87-a4c5-bf6e884636ec,INVOICE,INV20025,P010025,,DUPLICATE_INVOICE,Duplicate invoice_number detected,ERROR,"{""invoice_number"": ""INV20025""}"
4af16617-d7d7-4531-b3e7-c06406c52687,INVOICE,INV20031,P010031,,DUPLICATE_INVOICE,Duplicate invoice_number detected,ERROR,"{""invoice_number"": ""INV20031""}"
1d74089c-8a45-4fd7-b205-2a0b86649306,INVOICE,INV20227,P010227,,DUPLICATE_INVOICE,Duplicate invoice_number detected,ERROR,"{""invoice_number"": ""INV20227""}"
48673ee6-dbc9-4131-a21f-09721def7c95,INVOICE,INV20233,P010233,,DUPLICATE_INVOICE,Duplicate invoice_number detected,ERROR,"{""invoice_number"": ""INV20233""}"
c64adffe-3945-4c01-b2bd-874b307ef5eb,INVOICE,INV20179,P010179,,DUPLICATE_INVOICE,Duplicate invoice_number detected,ERROR,"{""invoice_number"": ""INV20179""}"
060331d4-0c34-4158-bd1c-d3385f4de67a,INVOICE,INV20193,P010193,,DUPLICATE_INVOICE,Duplicate invoice_number detected,ERROR,"{""invoice_number"": ""INV20193""}"
70741090-5191-4245-afcd-9ebd7001a429,INVOICE,INV20178,P010178,,DUPLICATE_INVOICE,Duplicate invoice_number detected,ERROR,"{""invoice_number"": ""INV20178""}"
eb9f5c8c-f978-4f97-ab12-ed327d80b6dc,INVOICE,INV20216,P010216,,DUPLICATE_INVOICE,Duplicate invoice_number detected,ERROR,"{""invoice_number"": ""INV20216""}"
dd348b9c-4770-48c6-a7dd-07394bbadf9e,INVOICE,INV20438,P010438,,DUPLICATE_INVOICE,Duplicate invoice_number detected,ERROR,"{""invoice_number"": ""INV20438""}"
a4f2c149-0adc-4e7e-a47c-e7da284a676d,INVOICE,INV20202,P010202,,DUPLICATE_INVOICE,Duplicate invoice_number detected,ERROR,"{""invoice_number"": ""INV20202""}"
7225c2c0-3d1c-4907-8eb3-4b6cc096f506,INVOICE,INV20000,P010000,,DUPLICATE_INVOICE,Duplicate invoice_number detected,ERROR,"{""invoice_number"": ""INV20000""}"
43cecccd-61fb-4958-add3-4c669a85932b,INVOICE,INV20028,P010028,,DUPLICATE_INVOICE,Duplicate invoice_number detected,ERROR,"{""invoice_number"": ""INV20028""}"
1d7ed84b-6021-45a0-9c37-0d46255b414f,INVOICE,invoice_number,po_number,,DUPLICATE_INVOICE,Duplicate invoice_number detected,ERROR,"{""invoice_number"": ""invoice_number""}"
bf7f64a6-1611-4210-b947-5d1781f38955,INVOICE,not specified,not specified,,DUPLICATE_INVOICE,Duplicate invoice_number detected,ERROR,"{""invoice_number"": ""not specified""}"
6002842b-58de-4491-b094-8202d906285b,INVOICE,INV20025,P010025,,DUPLICATE_INVOICE,Duplicate invoice_number detected,ERROR,"{""invoice_number"": ""INV20025""}"
b88045cb-2c10-4a73-b06d-744834018890,INVOICE,INV20031,P010031,,DUPLICATE_INVOICE,Duplicate invoice_number detected,ERROR,"{""invoice_number"": ""INV20031""}"
bd73b788-da31-43da-8f53-5caa3b8a9ea1,INVOICE,INV20233,P010233,,DUPLICATE_INVOICE,Duplicate invoice_number detected,ERROR,"{""invoice_number"": ""INV20233""}"
99fbfcbd-b546-4e8c-9a8b-99deb88a79ee,INVOICE,INV20227,P010227,,DUPLICATE_INVOICE,Duplicate invoice_number detected,ERROR,"{""invoice_number"": ""INV20227""}"
be22b33c-fa45-4322-9d52-61d229572e12,INVOICE,INV20178,P010178,,DUPLICATE_INVOICE,Duplicate invoice_number detected,ERROR,"{""invoice_number"": ""INV20178""}"
739f4d08-cde6-45a3-b0ec-3e07faface4b,INVOICE,INV20179,P010179,,DUPLICATE_INVOICE,Duplicate invoice_number detected,ERROR,"{""invoice_number"": ""INV20179""}"
1cdd38b9-8994-4ace-93f8-87ed66023269,INVOICE,INV20193,P010193,,DUPLICATE_INVOICE,Duplicate invoice_number detected,ERROR,"{""invoice_number"": ""INV20193""}"
989cb598-9a76-489e-92e7-0b733765e399,INVOICE,INV20438,P010438,,DUPLICATE_INVOICE,Duplicate invoice_number detected,ERROR,"{""invoice_number"": ""INV20438""}"
a17ee8b5-2a69-4d50-8ce1-de670acaeb99,INVOICE,INV20216,P010216,,DUPLICATE_INVOICE,Duplicate invoice_number detected,ERROR,"{""invoice_number"": ""INV20216""}"
7f009f91-51db-49ee-9319-91b0044bbe9b,INVOICE,INV20028,P010028,,DUPLICATE_INVOICE,Duplicate invoice_number detected,ERROR,"{""invoice_number"": ""INV20028""}"
98c4875e-8f59-4fb5-bca7-47a8c82d6c78,INVOICE,INV20202,P010202,,DUPLICATE_INVOICE,Duplicate invoice_number detected,ERROR,"{""invoice_number"": ""INV20202""}"
abb26287-5177-4a15-af33-91824099caca,INVOICE,INV20000,P010000,,DUPLICATE_INVOICE,Duplicate invoice_number detected,ERROR,"{""invoice_number"": ""INV20000""}"
77d6f8ae-c7ea-44c9-9f31-d305a59a0cfa,INVOICE,invoice_number,po_number,,DUPLICATE_INVOICE,Duplicate invoice_number detected,ERROR,"{""invoice_number"": ""invoice_number""}"
877dba3b-256e-420f-b417-1f7553a218b9,INVOICE,INV20025,P010025,,DUPLICATE_INVOICE,Duplicate invoice_number detected,ERROR,"{""invoice_number"": ""INV20025""}"
80a375d4-a0c3-4318-959f-e34203701aca,INVOICE,INV20031,P010031,,DUPLICATE_INVOICE,Duplicate invoice_number detected,ERROR,"{""invoice_number"": ""INV20031""}"
f7f9e53b-0435-4701-ae3d-db6f08fbb1e3,INVOICE,INV20233,P010233,,DUPLICATE_INVOICE,Duplicate invoice_number detected,ERROR,"{""invoice_number"": ""INV20233""}"
f1206742-01ac-46f9-88ad-c9611b8c5f25,INVOICE,INV20227,P010227,,DUPLICATE_INVOICE,Duplicate invoice_number detected,ERROR,"{""invoice_number"": ""INV20227""}"
343eaa95-2746-4261-8497-eb04a04ef576,INVOICE,INV20179,P010179,,DUPLICATE_INVOICE,Duplicate invoice_number detected,ERROR,"{""invoice_number"": ""INV20179""}"
a7faa211-cb74-497d-a7a4-593bba645f78,INVOICE,INV20193,P010193,,DUPLICATE_INVOICE,Duplicate invoice_number detected,ERROR,"{""invoice_number"": ""INV20193""}"
cc3d2662-48e0-421c-bd69-2e24f5b43929,INVOICE,INV20178,P010178,,DUPLICATE_INVOICE,Duplicate invoice_number detected,ERROR,"{""invoice_number"": ""INV20178""}"
7c628964-0b98-4701-82ad-ee740978c7f5,INVOICE,INV20438,P010438,,DUPLICATE_INVOICE,Duplicate invoice_number detected,ERROR,"{""invoice_number"": ""INV20438""}"
f06c9c32-2243-42e2-9252-9f2c729981cc,INVOICE,INV20000,P010000,,DUPLICATE_INVOICE,Duplicate invoice_number detected,ERROR,"{""invoice_number"": ""INV20000""}"
c9cdded6-94ee-441a-8c3c-14177d791217,INVOICE,invoice_number,po_number,,DUPLICATE_INVOICE,Duplicate invoice_number detected,ERROR,"{""invoice_number"": ""invoice_number""}"
d7132b2a-5adc-46fd-98fa-b4260ba24269,INVOICE,INV20025,P010025,,DUPLICATE_INVOICE,Duplicate invoice_number detected,ERROR,"{""invoice_number"": ""INV20025""}"
8c771694-1096-4471-ac35-b6beeafca7b8,INVOICE,INV20031,P010031,,DUPLICATE_INVOICE,Duplicate invoice_number detected,ERROR,"{""invoice_number"": ""INV20031""}"
c0740810-51fb-4ae8-8ba6-8a4290a1c7fa,INVOICE,INV20227,P010227,,DUPLICATE_INVOICE,Duplicate invoice_number detected,ERROR,"{""invoice_number"": ""INV20227""}"
66dfc1e1-5a05-4a80-920d-5dfbb6a72e91,INVOICE,INV20233,P010233,,DUPLICATE_INVOICE,Duplicate invoice_number detected,ERROR,"{""invoice_number"": ""INV20233""}"
6c169ebe-dc11-4f90-a3b2-a22e294e7837,INVOICE,INV20193,P010193,,DUPLICATE_INVOICE,Duplicate invoice_number detected,ERROR,"{""invoice_number"": ""INV20193""}"
bb212cb6-237f-4476-9c05-c71edc7145b1,INVOICE,INV20179,P010179,,DUPLICATE_INVOICE,Duplicate invoice_number detected,ERROR,"{""invoice_number"": ""INV20179""}"
15949a86-125a-4dca-8eac-858a23c6335b,INVOICE,INV20178,P010178,,DUPLICATE_INVOICE,Duplicate invoice_number detected,ERROR,"{""invoice_number"": ""INV20178""}"
5e8dd6c3-42d2-4428-8ef2-45ed2ff99910,INVOICE,INV20438,P010438,,DUPLICATE_INVOICE,Duplicate invoice_number detected,ERROR,"{""invoice_number"": ""INV20438""}"
8397b12c-8f5f-431e-ba69-dc0812073ebc,INVOICE,INV20216,P010216,,DUPLICATE_INVOICE,Duplicate invoice_number detected,ERROR,"{""invoice_number"": ""INV20216""}"
151a7854-9aeb-408a-9a01-2127c6ebde51,INVOICE,INV20000,P010000,,DUPLICATE_INVOICE,Duplicate invoice_number detected,ERROR,"{""invoice_number"": ""INV20000""}"
76354b2e-1f94-491b-aae7-dc62a5ee5c7c,INVOICE,INV20202,P010202,,DUPLICATE_INVOICE,Duplicate invoice_number detected,ERROR,"{""invoice_number"": ""INV20202""}"
fe40e5fe-7250-4cdd-a987-0b59585298ce,INVOICE,INV20028,P010028,,DUPLICATE_INVOICE,Duplicate invoice_number detected,ERROR,"{""invoice_number"": ""INV20028""}"
f12310cf-0abd-42e0-9367-5d0762008ca3,INVOICE,invoice_number,po_number,,DUPLICATE_INVOICE,Duplicate invoice_number detected,ERROR,"{""invoice_number"": ""invoice_number""}"
93d0e39c-cd66-4a61-8adc-23cbaa9f9306,INVOICE,INV20025,P010025,,DUPLICATE_INVOICE,Duplicate invoice_number detected,ERROR,"{""invoice_number"": ""INV20025""}"
f910b83a-56bb-4bb4-8345-cb722058e5ec,INVOICE,INV20031,P010031,,DUPLICATE_INVOICE,Duplicate invoice_number detected,ERROR,"{""invoice_number"": ""INV20031""}"
